date,close,N_price
2019/11/27,13860,13.86
2019/11/28,13895,13.895
2019/11/29,13955,13.955
2019/12/2,14020,14.02
2019/12/3,14035,14.035
2019/12/4,14090,14.09
2019/12/5,14060,14.06
2019/12/6,13995,13.995
2019/12/9,14050,14.05
2019/12/10,14105,14.105
2019/12/11,14110,14.11
2019/12/12,14020,14.02
2019/12/13,14020,14.02
2019/12/16,13930,13.93
2019/12/17,14040,14.04
2019/12/18,14185,14.185
2019/12/19,14295,14.295
2019/12/20,14300,14.3
2019/12/23,14290,14.29
2019/12/24,14395,14.395
2019/12/25,14375,14.375
2019/12/26,14255,14.255
2019/12/27,14305,14.305
2019/12/30,14350,14.35
2019/12/31,14340,14.34
2020/1/2,14410,14.41
2020/1/3,14410,14.41
2020/1/6,14415,14.415
2020/1/7,14300,14.3
2020/1/8,14400,14.4
2020/1/9,14450,14.45
2020/1/10,14525,14.525
2020/1/13,14530,14.53
2020/1/14,14470,14.47
2020/1/15,14700,14.7
2020/1/16,14430,14.43
2020/1/17,14400,14.4
2020/1/20,14285,14.285
2020/1/21,14185,14.185
2020/1/22,14215,14.215
2020/1/23,14175,14.175
2020/2/3,13645,13.645
2020/2/4,13560,13.56
2020/2/5,13590,13.59
2020/2/6,13650,13.65
2020/2/7,13715,13.715
2020/2/10,13675,13.675
2020/2/11,13725,13.725
2020/2/12,13695,13.695
2020/2/13,13655,13.655
2020/2/14,13620,13.62
2020/2/17,13570,13.57
2020/2/18,13705,13.705
2020/2/19,13700,13.7
2020/2/20,13655,13.655
2020/2/21,13575,13.575
2020/2/24,13495,13.495
2020/2/25,13490,13.49
2020/2/26,13445,13.445
2020/2/27,13385,13.385
2020/2/28,13060,13.06
2020/3/2,13195,13.195
2020/3/3,13225,13.225
2020/3/4,13130,13.13
2020/3/5,13150,13.15
2020/3/6,13085,13.085
2020/3/9,12795,12.795
2020/3/10,12880,12.88
2020/3/11,12820,12.82
2020/3/12,12750,12.75
2020/3/13,12800,12.8
2020/3/16,12345,12.345
2020/3/17,12685,12.685
2020/3/18,12240,12.24
2020/3/19,11750,11.75
2020/3/20,11945,11.945
2020/3/23,11310,11.31
2020/3/24,11375,11.375
2020/3/25,11700,11.7
2020/3/26,11615,11.615
2020/3/27,11740,11.74
2020/3/30,11500,11.5
2020/3/31,11545,11.545
2020/4/1,11450,11.45
2020/4/2,11490,11.49
2020/4/3,11560,11.56
2020/4/7,11610,11.61
2020/4/8,11615,11.615
2020/4/9,11630,11.63
2020/4/10,11800,11.8
2020/4/13,11755,11.755
2020/4/14,11780,11.78
2020/4/15,11960,11.96
2020/4/16,12110,12.11
2020/4/17,12430,12.43
2020/4/20,12395,12.395
2020/4/21,12180,12.18
2020/4/22,12265,12.265
2020/4/23,12300,12.3
2020/4/24,12375,12.375
2020/4/27,12440,12.44
2020/4/28,12555,12.555
2020/4/29,12770,12.77
2020/4/30,12760,12.76
2020/5/6,12900,12.9
2020/5/7,12745,12.745
2020/5/8,12785,12.785
2020/5/11,12960,12.96
2020/5/12,12950,12.95
2020/5/13,12825,12.825
2020/5/14,12950,12.95
2020/5/15,13015,13.015
2020/5/18,13075,13.075
2020/5/19,13160,13.16
2020/5/20,13225,13.225
2020/5/21,13040,13.04
2020/5/22,13055,13.055
2020/5/25,13175,13.175
2020/5/26,13235,13.235
2020/5/27,13260,13.26
2020/5/28,13355,13.355
2020/5/29,13425,13.425
2020/6/1,13365,13.365
2020/6/2,13265,13.265
2020/6/3,13345,13.345
2020/6/4,13400,13.4
2020/6/5,13415,13.415
2020/6/8,13680,13.68
2020/6/9,13855,13.855
2020/6/10,13920,13.92
2020/6/11,13800,13.8
2020/6/12,13930,13.93
2020/6/15,13790,13.79
2020/6/16,13875,13.875
2020/6/17,13840,13.84
2020/6/18,13745,13.745
2020/6/19,13795,13.795
2020/6/22,13865,13.865
2020/6/23,13810,13.81
2020/6/24,13770,13.77
2020/6/29,13940,13.94
2020/6/30,14070,14.07
2020/7/1,14280,14.28
2020/7/2,14210,14.21
2020/7/3,14340,14.34
2020/7/6,14395,14.395
2020/7/7,14350,14.35
2020/7/8,14360,14.36
2020/7/9,14545,14.545
2020/7/10,14815,14.815
2020/7/13,15185,15.185
2020/7/14,14830,14.83
2020/7/15,14665,14.665
2020/7/16,13975,13.975
2020/7/17,14155,14.155
2020/7/20,14245,14.245
2020/7/21,14245,14.245
2020/7/22,14390,14.39
2020/7/23,14395,14.395
2020/7/24,14405,14.405
2020/7/27,14440,14.44
2020/7/28,14525,14.525
2020/7/29,14705,14.705
2020/7/30,14950,14.95
2020/7/31,14925,14.925
2020/8/3,14850,14.85
2020/8/4,14920,14.92
2020/8/5,14770,14.77
2020/8/6,14630,14.63
2020/8/7,14710,14.71
2020/8/10,14475,14.475
2020/8/11,14315,14.315
2020/8/12,14330,14.33
2020/8/13,14475,14.475
2020/8/14,14500,14.5
2020/8/17,14550,14.55
2020/8/18,14435,14.435
2020/8/19,14635,14.635
2020/8/20,14675,14.675
2020/8/21,14710,14.71
